,,,,,,Play,Perf,Perf,Perf,Perf
Rk,Player,Nation,Pos,Squad,Age,MP,Gls,Ast,CrdY,CrdR
,,,,,,,,,,
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DFMF,Crystal Palace,25,11,2,0,1,0
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DFMF,Sunderland,25,21,3,1,2,0
3,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,30,24,1,3,7,0
4,Albert Adomah\Albert-Adomah,gh GHA,MF,Middlesbrough,28,2,0,0,0,0
5,Adrián\Adrian,es ESP,GK,West Ham,29,16,0,0,1,0
6,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,30,12,0,0,0,0
7,Benik Afobe\Benik-Afobe,cd COD,FW,Bournemouth,23,31,6,3,1,0
8,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,28,31,20,4,4,1
9,Dan Agyei\Dan-Agyei,eng ENG,FW,Burnley,19,3,0,0,0,0
10,Ola Aina\Ola-Aina,ng NGA,DFMF,Chelsea,19,3,0,0,0,0
11,Nathan Aké\Nathan-Ake,nl NED,DF,Chelsea,21,2,0,0,1,0
12,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,21,10,3,0,0,0
13,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,26,33,2,6,5,0
14,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,27,30,1,0,1,0
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,MFDF,Liverpool,17,7,0,0,0,0
16,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,26,36,6,2,9,0
17,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,20,37,18,7,4,0
18,Ryan Allsop\Ryan-Allsop,eng ENG,GK,Bournemouth,24,1,0,0,0,0
19,Marcos Alonso\Marcos-Alonso,es ESP,MF,Chelsea,25,31,6,3,2,0
20,Daniel Amartey\Daniel-Amartey,gh GHA,MF,Leicester City,21,24,1,1,3,0
21,Jordi Amat\Jordi-Amat,es ESP,DF,Swansea City,24,17,0,0,5,0
22,Nordin Amrabat\Nordin-Amrabat,ma MAR,MFFW,Watford,29,29,0,3,4,0
23,Victor Anichebe\Victor-Anichebe,ng NGA,FWMF,Sunderland,28,18,3,0,2,0
24,Michail Antonio\Michail-Antonio,eng ENG,MFFW,West Ham,26,29,9,3,5,2
25,Ikechi Anya\Ikechi-Anya,sco SCO,FWMF,Watford,28,1,0,0,0,0
26,Álvaro Arbeloa\Alvaro-Arbeloa,es ESP,DF,West Ham,33,3,0,0,3,0
